parameter,description
cs_mag_fault,bool # 18 - true when the magnetometer has been declared faulty and is no longer being used
reject_yaw,bool # 7 - true if the yaw observation has been rejected
cs_fixed_wing,bool # 17 - true when the vehicle is operating as a fixed wing vehicle
fs_bad_vel_d,bool # 11 - true if fusion of the Down velocity has encountered a numerical error
cs_yaw_align,bool # 1 - true if the filter yaw alignment is complete
reject_ver_vel,bool # 1 - true if vertical velocity observations have been rejected
cs_mag_field_disturbed,bool # 16 - true when the mag field does not match the expected strength
cs_mag_hdg,bool # 4 - true if a simple magnetic yaw heading fusion is intended
fs_bad_hdg,bool # 3 - true if the fusion of the heading angle has encountered a numerical error
fs_bad_pos_e,bool # 13 - true if fusion of the East position has encountered a numerical error
cs_opt_flow,bool # 3 - true if optical flow measurements fusion is intended
cs_rng_stuck,bool # 21 - true when rng data wasn't ready for more than 10s and new rng values haven't changed enough
reject_hor_pos,bool # 2 - true if horizontal position observations have been rejected
cs_gps,bool # 2 - true if GPS measurement fusion is intended
cs_mag_heading_consistent,bool # 37 - true when the heading obtained from mag data is declared consistent with the filter
reject_ver_pos,bool # 3 - true if vertical position observations have been rejected
fs_bad_mag_y,bool # 1 - true if the fusion of the magnetometer Y-axis has encountered a numerical error
reject_optflow_x,bool # 11 - true if the X optical flow observation has been rejected
control_status_changes,uint32 # number of filter control status (cs) changes
fs_bad_airspeed,bool # 5 - true if fusion of the airspeed has encountered a numerical error
fs_bad_optflow_x,bool # 7 - true if fusion of the optical flow X axis has encountered a numerical error
fs_bad_optflow_y,bool # 8 - true if fusion of the optical flow Y axis has encountered a numerical error
innovation_fault_status_changes,uint32 # number of innovation fault status (reject) changes
cs_gps_yaw_fault,bool # 27 - true when the GNSS heading has been declared faulty and is no longer being used
temperature_target_met,bool 
controller_period_usec,uint32 
MODE_PX4IO,uint8 = 2
MODE_GPIO,uint8 = 1
heater_on,bool 
temperature_sensor,float32 
feed_forward_value,float32 
proportional_value,float32 
controller_time_on_usec,uint32 
integrator_value,float32 
temperature_target,float32 
value,float32 # the value to send as debug output
ind,int8 # index of debug variable
accel_fault_detected,bool 
accumulated_gyro_error,float32[4] 
instances_available,uint8 
instance_changed_count,uint32 
last_instance_change,uint64 
combined_test_ratio,float32[9] 
accumulated_accel_error,float32[4] 
primary_instance,uint8 
relative_test_ratio,float32[9] 
gyro_fault_detected,bool 
gyro_bias_limit,float32 # magnitude of maximum gyroscope in-run bias in body frame (rad/s)
mag_bias_variance,float32[3] 
accel_bias,float32[3] # accelerometer in-run bias in body frame (m/s^2)
mag_bias,float32[3] # magnetometer in-run bias in body frame (Gauss)
gyro_bias_variance,float32[3] 
gyro_bias,float32[3] # gyroscope in-run bias in body frame (rad/s)
gyro_bias_stable,bool # true when the gyro bias estimate is stable enough to use for calibration
accel_bias_stable,bool # true when the accel bias estimate is stable enough to use for calibration
mag_bias_limit,float32 # magnitude of maximum magnetometer in-run bias in body frame (Gauss)
mag_bias_valid,bool 
accel_bias_variance,float32[3] 
accel_bias_limit,float32 # magnitude of maximum accelerometer in-run bias in body frame (m/s^2)
mag_bias_stable,bool # true when the mag bias estimate is stable enough to use for calibration
accel_bias_valid,bool 
gyro_bias_valid,bool 
primary_control_compid,uint8 
secondary_control_sysid,uint8 
secondary_control_compid,uint8 
primary_control_sysid,uint8 
vy_rel,float32 # Y/east velocity of target; relative to vehicle (navigation frame) [meters/second]
is_static,bool # Flag indicating whether the landing target is static or moving with respect to the ground
y_rel,float32 # Y/east position of target; relative to vehicle (navigation frame) [meters]
rel_vel_valid,bool # Flag showing whether relative velocity is valid
rel_pos_valid,bool # Flag showing whether relative position is valid
cov_vy_rel,float32 # Y/east velocity variance [(meters/second)^2]
z_abs,float32 # Z/down position of target; relative to origin (navigation frame) [meters]
y_abs,float32 # Y/east position of target; relative to origin (navigation frame) [meters]
z_rel,float32 # Z/down position of target; relative to vehicle (navigation frame) [meters]
cov_vx_rel,float32 # X/north velocity variance [(meters/second)^2]
abs_pos_valid,bool # Flag showing whether absolute position is valid
x_rel,float32 # X/north position of target; relative to vehicle (navigation frame) [meters]
vx_rel,float32 # X/north velocity of target; relative to vehicle (navigation frame) [meters/second]
x_abs,float32 # X/north position of target; relative to origin (navigation frame) [meters]
cov_x_rel,float32 # X/north position variance [meters^2]
cov_y_rel,float32 # Y/east position variance [meters^2]
arming_force_failsafe,bool 
status_safety_button_event,bool # px4io safety button was pressed for longer than 1 second
status_arm_sync,bool 
status_fmu_ok,bool 
status_rc_sumd,bool 
arming_io_arm_ok,bool 
status_fmu_initialized,bool 
free_memory_bytes,uint16 
alarm_rc_lost,bool 
arming_failsafe_custom,bool 
status_rc_ppm,bool 
status_rc_sbus,bool 
alarm_pwm_error,bool 
status_rc_st24,bool 
status_raw_pwm,bool 
status_rc_dsm,bool 
status_outputs_armed,bool 
pwm_rate_hz,uint16[8] 
status_failsafe,bool 
arming_fmu_armed,bool 
status_rc_ok,bool 
arming_fmu_prearmed,bool 
status_init_ok,bool 
pwm_failsafe,uint16[8] 
arming_lockdown,bool 
rssi_v,float32 # RSSI pin voltage in volts
pwm,uint16[8] 
pwm_disarmed,uint16[8] 
raw_inputs,uint16[18] 
arming_termination_failsafe,bool 
failure_flags,uint32 
DEVICE_FLAGS_ROLL_LOCK,uint16 = 4
DEVICE_FLAGS_PITCH_LOCK,uint16 = 8
device_flags,uint16 
DEVICE_FLAGS_YAW_LOCK,uint16 = 16
received_from_mavlink,bool 
DEVICE_FLAGS_RETRACT,uint16 = 1
DEVICE_FLAGS_NEUTRAL,uint16 = 2
from_external,bool # Indicates if the command came from an external source
ARM_AUTH_DENIED_REASON_BAD_WEATHER,uint16 = 5
ARM_AUTH_DENIED_REASON_GENERIC,uint16 = 0
VEHICLE_CMD_RESULT_TEMPORARILY_REJECTED,uint8 = 1 # Command TEMPORARY REJECTED/DENIED |
ARM_AUTH_DENIED_REASON_AIRSPACE_IN_USE,uint16 = 4
VEHICLE_CMD_RESULT_ACCEPTED,uint8 = 0 # Command ACCEPTED and EXECUTED |
result_param2,int32 # Additional parameter of the result; example: which parameter of MAV_CMD_NAV_WAYPOINT caused it to be denied.
VEHICLE_CMD_RESULT_IN_PROGRESS,uint8 = 5 # Command being executed |
result_param1,uint8 # Also used as progress[%]; it can be set with the reason why the command was denied; or the progress percentage when result is MAV_RESULT_IN_PROGRESS
VEHICLE_CMD_RESULT_CANCELLED,uint8 = 6 # Command Canceled
VEHICLE_CMD_RESULT_FAILED,uint8 = 4 # Command executed; but failed |
result,uint8 # Command result
VEHICLE_CMD_RESULT_UNSUPPORTED,uint8 = 3 # Command UNKNOWN/UNSUPPORTED |
ARM_AUTH_DENIED_REASON_INVALID_WAYPOINT,uint16 = 2
command,uint32 # Command that is being acknowledged
VEHICLE_CMD_RESULT_DENIED,uint8 = 2 # Command PERMANENTLY DENIED |
ARM_AUTH_DENIED_REASON_TIMEOUT,uint16 = 3
ARM_AUTH_DENIED_REASON_NONE,uint16 = 1
resolution,uint32 # ADC channel resolution
channel_id,int16[12] # ADC channel IDs; negative for non-existent; TODO: should be kept same as array index
raw_data,int32[12] # ADC channel raw value; accept negative value; valid if channel ID is positive
v_ref,float32 # ADC channel voltage reference; use to calculate LSB voltage(lsb=scale/resolution)
next,PositionSetpoint 
current,PositionSetpoint 
previous,PositionSetpoint 
quat_reset_counter,uint8 # Quaternion reset counter
delta_q_reset,float32[4] # Amount by which quaternion has changed during last reset
rtt_ms,float32 # Round trip time (in ms)
dropped_packets,uint32 # Number of dropped ping packets
ping_sequence,uint32 # Sequence number of the ping packet
ping_time,uint64 # Timestamp of the ping packet
innovation_rejected,bool # true if the observation has been rejected
fused,bool # true if the sample was successfully fused
observation_variance,float32[3] 
innovation,float32[3] 
test_ratio,float32[3] 
innovation_variance,float32[3] 
time_last_fuse,uint64 
estimator_instance,uint8 
observation,float32[3] 
task_name,char[24] 
stack_free,uint16 
connected,bool # Whether or not a battery is connected; based on a voltage threshold
is_required,bool # Set if the battery is explicitly required before arming
nominal_voltage,float32 # Nominal voltage of the battery pack
BATTERY_MODE_HOT_SWAP,uint8 = 2 # Battery in hot-swap mode
BATTERY_SOURCE_POWER_MODULE,uint8 = 0
average_power,float32 # The average power of the current discharge
BATTERY_STATE_UNHEALTHY,uint8 = 6 # Battery is diagnosed to be defective or an error occurred; usage is discouraged / prohibited. Possible causes (faults) are listed in faults field.
BATTERY_WARNING_CRITICAL,uint8 = 2 # critical voltage; return / abort immediately
BATTERY_FAULT_INCOMPATIBLE_FIRMWARE,uint8 = 7 # Battery firmware is not compatible with current autopilot firmware
BATTERY_FAULT_COUNT,uint8 = 11 # Counter - keep it as last element!
custom_faults,uint32 # Bitmask indicating smart battery internal manufacturer faults; those are not user actionable.
BATTERY_WARNING_NONE,uint8 = 0 # no battery low voltage warning active
BATTERY_FAULT_DEEP_DISCHARGE,uint8 = 0 # Battery has deep discharged
cell_count,uint8 # Number of cells; 0 if unknown
BATTERY_MODE_UNKNOWN,uint8 = 0 # Battery does not support a mode; or if it does; is operational
remaining,float32 # From 1 to 0; -1 if unknown
BATTERY_FAULT_SPIKES,uint8 = 1 # Voltage spikes
average_time_to_full,uint16 # The predicted remaining time until the battery reaches full charge; in minutes
BATTERY_FAULT_OVER_CURRENT,uint8 = 3 # Over-current
design_capacity,float32 # The design capacity of the battery
BATTERY_WARNING_OVER_TEMPERATURE,uint8 = 10 # Over-temperature
state_of_health,uint16 # state of health. FullChargeCapacity/DesignCapacity; 0-100%.
capacity,uint16 # actual capacity of the battery
warning,uint8 # Current battery warning
BATTERY_FAULT_INCOMPATIBLE_VOLTAGE,uint8 = 6 # Vehicle voltage is not compatible with battery one
discharged_mah,float32 # Discharged amount in mAh; -1 if unknown
BATTERY_FAULT_UNDER_TEMPERATURE,uint8 = 5 # Under-temperature fault
serial_number,uint16 # serial number of the battery pack
current_average_a,float32 # Battery current average in amperes; -1 if unknown
over_discharge_count,uint16 # Number of battery overdischarge
BATTERY_FAULT_OVER_TEMPERATURE,uint8 = 4 # Over-temperature
max_cell_voltage_delta,float32 # Max difference between individual cell voltages
BATTERY_WARNING_LOW,uint8 = 1 # warning of low voltage
BATTERY_MODE_AUTO_DISCHARGING,uint8 = 1 # Battery is auto discharging (towards storage level)
full_charge_capacity_wh,float32 # The compensated battery capacity
remaining_capacity_wh,float32 # The compensated battery capacity remaining
voltage_cell_v,float32[14] # Battery individual cell voltages; 0 if unknown
current_filtered_a,float32 # Battery current in amperes; filtered; 0 if unknown
BATTERY_SOURCE_ESCS,uint8 = 2
average_time_to_empty,uint16 # predicted remaining battery capacity based on the average rate of discharge in min
cycle_count,uint16 # number of discharge cycles the battery has experienced
BATTERY_FAULT_CELL_FAIL=,uint8 2 # One or more cells have failed
voltage_filtered_v,float32 # Battery voltage in volts; filtered; 0 if unknown
time_remaining_s,float32 # predicted time in seconds remaining until battery is empty under previous averaged load; NAN if unknown
manufacture_date,uint16 # manufacture date; part of serial number of the battery pack. Formatted as: Day + Month×32 + (Year–1980)×512
is_powering_off,bool # Power off event imminent indication; false if unknown
available_energy,float32 # The predicted charge or energy remaining in the battery
BATTERY_FAULT_INCOMPATIBLE_MODEL,uint8 = 8 # Battery model is not supported by the system
BATTERY_STATE_CHARGING,uint8 = 7 # Battery is charging
BATTERY_FAULT_HARDWARE_FAILURE,uint8 = 9 # hardware problem
BATTERY_WARNING_EMERGENCY,uint8 = 3 # immediate landing required
faults,uint16 # Smart battery supply status/fault flags (bitmask) for health indication.
max_error,uint16 # max error; expected margin of error in % in the state-of-charge calculation with a range of 1 to 100%
BATTERY_WARNING_FAILED,uint8 = 4 # the battery has failed completely
BATTERY_MODE_COUNT,uint8 = 3 # Counter - keep it as last element (once we're fully migrated to events interface we can just comment this)!
interface_error,uint16 # interface error counter
BATTERY_SOURCE_EXTERNAL,uint8 = 1
humidity,float32 # Humidity provided by sensor
speed_up,float32 # in meters/sec
want_takeoff,bool # tell the controller to initiate takeoff when idling (ignored during flight)
speed_down,float32 # in meters/sec
valid_hpos,bool # true when the latitude and longitude have been set
valid_alt,bool # true when the altitude has been set
valid_lpos,bool # true when the local position (xyz) has been set
manual_home,bool # true when home position was set manually
gps_checks_passed,bool # 0 - true when gps quality checks are passing passed
height_sensor_timeout,bool # 4 - true when the height sensor has not been used to correct the state estimates for a significant time period
gps_data_stopped,bool # 2 - true when the gps data has stopped for a significant time period
reset_hgt_to_rng,bool # 15 - true when the vertical position state is reset to the rng measurement
gps_data_stopped_using_alternate,bool # 3 - true when the gps data has stopped for a significant time period but the filter is able to use other sources of data to maintain navigation
warning_event_changes,uint32 # number of warning event changes
reset_hgt_to_baro,bool # 13 - true when the vertical position state is reset to the baro measurement
bad_yaw_using_gps_course,bool # 7 - true when the filter has detected an invalid yaw estimate and has reset the yaw angle to the GPS ground course
yaw_aligned_to_imu_gps,bool # 12 - true when the filter resets the yaw to an estimate derived from IMU and GPS data
reset_vel_to_gps,bool # 1 - true when the velocity states are reset to the gps measurement
emergency_yaw_reset_gps_yaw_stopped,bool # 11 - true when the filter has detected bad GNSS yaw data; has reset the yaw to anothter source of data and has stopped further use of the GNSS yaw data
emergency_yaw_reset_mag_stopped,bool # 10 - true when the filter has detected bad magnetometer data; has reset the yaw to anothter source of data and has stopped further use of the magnetometer data
reset_pos_to_vision,bool # 7 - true when the position states are reset to the vision system measurement
information_event_changes,uint32 # number of information event changes
starting_vision_pos_fusion,bool # 9 - true when the filter starts using vision system position measurements to correct the state estimates
starting_vision_yaw_fusion,bool # 11 - true when the filter starts using vision system yaw measurements to correct the state estimates
reset_pos_to_gps,bool # 6 - true when the position states are reset to the gps measurement
reset_hgt_to_ev,bool # 16 - true when the vertical position state is reset to the ev measurement
reset_vel_to_zero,bool # 4 - true when the velocity states are reset to zero
starting_gps_fusion,bool # 8 - true when the filter starts using gps measurements to correct the state estimates
starting_vision_vel_fusion,bool # 10 - true when the filter starts using vision system velocity measurements to correct the state estimates
gps_quality_poor,bool # 0 - true when the gps is failing quality checks
invalid_accel_bias_cov_reset,bool # 6 - true when the filter has detected bad acceerometer bias state esitmstes and has reset the corresponding covariance matrix elements
stopping_navigation,bool # 5 - true when the filter has insufficient data to estimate velocity and position and is falling back to an attitude; height and height rate mode of operation
reset_hgt_to_gps,bool # 14 - true when the vertical position state is reset to the gps measurement
reset_pos_to_last_known,bool # 5 - true when the position states are reset to the last known position
reset_vel_to_vision,bool # 3 - true when the velocity states are reset to the vision system measurement
gps_fusion_timout,bool # 1 - true when the gps data has not been used to correct the state estimates for a significant time period
vision_data_stopped,bool # 9 - true when the vision system data has stopped for a significant time period
reset_vel_to_flow,bool # 2 - true when the velocity states are reset using the optical flow measurement
stopping_mag_use,bool # 8 - true when the filter has detected bad magnetometer data and is stopping further use of the magnetometer data
rollspeed_integ,float32 
wheel_rate_integ,float32 # FW only and optional
pitchspeed_integ,float32 
yawspeed_integ,float32 
differential_pressure_pa,float32 # differential pressure reading in Pascals (may be negative)
RESULT_SUCCESS,uint8 = 0
RESULT_FAILURE_OTHER,uint8 = 100 # Mode failed (generic error)
values,uint16[18] # measured pulse widths for each of the supported channels
RC_INPUT_SOURCE_PX4IO_SUMD,uint8 = 13
RC_INPUT_SOURCE_PX4FMU_CRSF,uint8 = 14
RC_INPUT_SOURCE_MAVLINK,uint8 = 6
RC_INPUT_SOURCE_QURT,uint8 = 7
rc_total_frame_count,uint16 # Number of total RC frames. Note: intended purpose: observe the radio link quality if RSSI is not available. This value must not be used to trigger any failsafe-alike functionality.
RC_INPUT_SOURCE_PX4FMU_SBUS,uint8 = 9
rc_failsafe,bool # explicit failsafe flag: true on TX failure or TX out of range ; false otherwise. Only the true state is reliable; as there are some (PPM) receivers on the market going into failsafe without telling us explicitly.
rssi_dbm,float32 # Actual rssi in units of dBm. NaN = invalid
timestamp_last_signal,uint64 # last valid reception time
RC_INPUT_MAX_CHANNELS,uint8 = 18 # Maximum number of R/C input channels in the system. S.Bus has up to 18 channels.
RC_INPUT_SOURCE_UNKNOWN,uint8 = 0
RC_INPUT_SOURCE_PX4FMU_SUMD,uint8 = 11
link_quality,int8 # link quality. Percentage 0-100%. -1 = invalid
RC_INPUT_SOURCE_PX4IO_PPM,uint8 = 2
input_source,uint8 # Input source
RC_INPUT_SOURCE_PX4IO_SBUS,uint8 = 4
RC_INPUT_SOURCE_PX4FMU_PPM,uint8 = 1
rc_lost_frame_count,uint16 # Number of lost RC frames. Note: intended purpose: observe the radio link quality if RSSI is not available. This value must not be used to trigger any failsafe-alike functionality.
RC_INPUT_SOURCE_PX4FMU_GHST,uint8 = 15
rc_ppm_frame_length,uint16 # Length of a single PPM frame. Zero for non-PPM systems
RC_INPUT_SOURCE_PX4FMU_DSM,uint8 = 12
rc_lost,"bool # RC receiver connection status: True;if no frame has arrived in the expected time; false otherwise. True usually means that the receiver has been disconnected; but can also indicate a radio link loss on ""stupid"" systems. Will remain false; if a RX with failsafe option continues to transmit frames after a link loss."
RSSI_MAX,int8 = 100
RC_INPUT_SOURCE_PX4IO_ST24,uint8 = 5
RC_INPUT_SOURCE_PX4FMU_ST24,uint8 = 10
RC_INPUT_SOURCE_PX4FMU_SPEKTRUM,uint8 = 8
RC_INPUT_SOURCE_PX4IO_SPEKTRUM,uint8 = 3
ground_distance,float32 # Altitude above ground (meters)
COMMAND_RELEASE,int8 = 1
COMMAND_GRAB,int8 = 0
health_warning_flags,uint64 
can_arm_mode_flags,uint64 # bitfield for each flight mode (NAVIGATION_STATE_*) if arming is possible
health_error_flags,uint64 
arming_check_warning_flags,uint64 
arming_check_error_flags,uint64 
health_is_present_flags,uint64 # flags for each health_component_t
can_run_mode_flags,uint64 # bitfield for each flight mode if it can run
mask,uint32 # Pin mask
INPUT_FLOATING,uint32 = 0 # 0x0000
OUTPUT_OPENDRAIN,uint32 = 256 # 0x0100
config,uint32 
PULLUP,uint32 = 16 # 0x0010
OPENDRAIN,uint32 = 256 # 0x0100
INPUT_PULLDOWN,uint32 = 32 # 0x0020
OUTPUT_OPENDRAIN_PULLUP,uint32 = 272 # 0x0110
OUTPUT_PUSHPULL,uint32 = 0 # 0x0000
INPUT_PULLUP,uint32 = 16 # 0x0010
OUTPUT,uint32 = 1 # 0x0001
INPUT,uint32 = 0 # 0x0000
PULLDOWN,uint32 = 32 # 0x0020
flag_control_termination_enabled,bool # true if flighttermination is enabled
flag_control_allocation_enabled,bool # true if control allocation is enabled
flag_armed,bool # synonym for actuator_armed.armed
flag_control_auto_enabled,bool # true if onboard autopilot should act
flag_multicopter_position_control_enabled,bool 
flag_control_rates_enabled,bool # true if rates are stabilized
flag_control_manual_enabled,bool # true if manual input is mixed in
flag_control_position_enabled,bool # true if position is controlled
flag_control_velocity_enabled,bool # true if horizontal velocity (implies direction) is controlled
flag_control_altitude_enabled,bool # true if altitude is controlled
flag_control_offboard_enabled,bool # true if offboard control should be used
flag_control_acceleration_enabled,bool # true if acceleration is controlled
flag_control_climb_rate_enabled,bool # true if climb rate is controlled
flag_control_attitude_enabled,bool # true if attitude stabilization is mixed in
states,float32[24] # Internal filter states
covariances,float32[24] # Diagonal Elements of Covariance Matrix
n_states,uint8 # Number of states effectively used
POSE_FRAME_NED,uint8 = 1 # NED earth-fixed frame
VELOCITY_FRAME_FRD,uint8 = 2 # FRD world-fixed frame; arbitrary heading reference
velocity_frame,uint8 # Reference frame of the velocity data
pose_frame,uint8 # Position and orientation frame of reference
orientation_variance,float32[3] 
POSE_FRAME_FRD,uint8 = 2 # FRD world-fixed frame; arbitrary heading reference
VELOCITY_FRAME_UNKNOWN,uint8 = 0
VELOCITY_FRAME_NED,uint8 = 1 # NED earth-fixed frame
reset_counter,uint8 
VELOCITY_FRAME_BODY_FRD,uint8 = 3 # FRD body-fixed frame
angular_velocity,float32[3] # Angular velocity in body-fixed frame (rad/s). NaN if invalid/unknown
POSE_FRAME_UNKNOWN,uint8 = 0
position_variance,float32[3] 
velocity_variance,float32[3] 
param5,float64 # Parameter 5; as defined by MAVLink uint16 VEHICLE_CMD enum.
VEHICLE_CMD_NAV_DELAY,uint16 = 93 # Delay the next navigation command a number of seconds or until a specified time |Delay in seconds (decimal; -1 to enable time-of-day fields)| hour (24h format; UTC; -1 to ignore)| minute (24h format; UTC; -1 to ignore)| second (24h format; UTC)| Empty| Empty| Empty|
VEHICLE_MOUNT_MODE_MAVLINK_TARGETING,uint8 = 2 # Load neutral position and start MAVLink Roll;Pitch;Yaw control with stabilization |
VEHICLE_CMD_CONDITION_GATE,uint16 = 4501 # Wait until passing a threshold |2D coord mode: 0: Orthogonal to planned route | Altitude mode: 0: Ignore altitude| Empty| Empty| Lat| Lon| Alt|
PARACHUTE_ACTION_RELEASE,uint8 = 2
FAILURE_UNIT_SENSOR_ACCEL,uint8 = 1
VEHICLE_CMD_MISSION_START,uint16 = 300 # start running a mission |first_item: the first mission item to run| last_item: the last mission item to run (after this item is run; the mission ends)|
VEHICLE_ROI_TARGET,uint8 = 4 # Point toward target
VEHICLE_CMD_SET_CAMERA_FOCUS,uint16 = 532
VEHICLE_MOUNT_MODE_GPS_POINT,uint8 = 4 # Load neutral position and start to point to Lat;Lon;Alt |
FAILURE_UNIT_SENSOR_AIRSPEED,uint8 = 8
ARMING_ACTION_ARM,int8 = 1
VEHICLE_CMD_DO_REPOSITION,uint16 = 192
VEHICLE_CMD_NAV_GUIDED_MASTER,uint16 = 91 # set id of master controller |System ID| Component ID| Empty| Empty| Empty| Empty| Empty|
VEHICLE_CMD_REQUEST_MESSAGE,uint16 = 512 # Request to send a single instance of the specified message
VEHICLE_CMD_CONTROL_HIGH_LATENCY,uint16 = 2600 # control starting/stopping transmitting data over the high latency link
VEHICLE_CMD_FIXED_MAG_CAL_YAW,uint16 = 42006 # Magnetometer calibration based on provided known yaw. This allows for fast calibration using WMM field tables in the vehicle; given only the known yaw of the vehicle. If Latitude and longitude are both zero then use the current vehicle location.
FAILURE_UNIT_SENSOR_BARO,uint8 = 3
VEHICLE_CMD_DO_MOUNT_CONTROL=205,uint16 # Mission command to control a camera or antenna mount |pitch or lat in degrees; depending on mount mode.| roll or lon in degrees depending on mount mode| yaw or alt (in meters) depending on mount mode| reserved| reserved| reserved| MAV_MOUNT_MODE enum value|
VEHICLE_CMD_PREFLIGHT_REBOOT_SHUTDOWN,uint16 = 246 # Request the reboot or shutdown of system components. |0: Do nothing for autopilot; 1: Reboot autopilot; 2: Shutdown autopilot.| 0: Do nothing for onboard computer; 1: Reboot onboard computer; 2: Shutdown onboard computer.| Reserved| Reserved| Empty| Empty| Empty|
VEHICLE_CMD_SET_CAMERA_ZOOM,uint16 = 531 # Set camera zoom
VEHICLE_MOUNT_MODE_ENUM_END,uint8 = 5 #
VEHICLE_CMD_DO_GIMBAL_MANAGER_CONFIGURE,uint16 = 1001 # Gimbal configuration to set which sysid/compid is in primary and secondary control
VEHICLE_CMD_DO_JUMP,uint16 = 177 # Jump to the desired command in the mission list. Repeat this action only the specified number of times |Sequence number| Repeat count| Empty| Empty| Empty| Empty| Empty|
VEHICLE_CMD_ACTUATOR_TEST,uint16 = 310 # Actuator testing command|value [-1;1]|timeout [s]|Empty|Empty|output function|
FAILURE_TYPE_GARBAGE,uint8 = 3
param4,float32 # Parameter 4; as defined by MAVLink uint16 VEHICLE_CMD enum.
VEHICLE_CMD_PAYLOAD_CONTROL_DEPLOY,uint16 = 30002 # Control a pre-programmed payload deployment
FAILURE_UNIT_SYSTEM_AVOIDANCE,uint8 = 103
VEHICLE_CMD_VIDEO_START_CAPTURE,uint16 = 2500 # Start a video capture.
ARMING_ACTION_DISARM,int8 = 0
FAILURE_UNIT_SENSOR_GYRO,uint8 = 0
SPEED_TYPE_DESCEND_SPEED,uint8 = 3
VEHICLE_CMD_DO_FLIGHTTERMINATION,uint16 = 185 # Terminate flight immediately |Flight termination activated if > 0.5| Empty| Empty| Empty| Empty| Empty| Empty|
VEHICLE_CMD_DO_SET_ROI_NONE,uint16 = 197 # Cancels any previous ROI command returning the vehicle/sensors to default flight characteristics. This can then be used by the vehicles control system to control the vehicle attitude and the attitude of various sensors such as cameras. |Empty| Empty| Empty| Empty| Empty| Empty| Empty|
source_system,uint8 # System sending the command
VEHICLE_CMD_PX4_INTERNAL_START,uint32 = 65537 # start of PX4 internal only vehicle commands (> UINT16_MAX)
VEHICLE_CMD_DO_WINCH,uint16 = 42600 # Command to operate winch.
VEHICLE_CMD_DO_REPEAT_SERVO,uint16 = 184 # Cycle a between its nominal setting and a desired PWM for a desired number of cycles with a desired period. |Servo number| PWM (microseconds; 1000 to 2000 typical)| Cycle count| Cycle time (seconds)| Empty| Empty| Empty|
VEHICLE_CMD_NAV_WAYPOINT,uint16 = 16 # Navigate to MISSION. |Hold time in decimal seconds. (ignored by fixed wing; time to stay at MISSION for rotary wing)| Acceptance radius in meters (if the sphere with this radius is hit; the MISSION counts as reached)| 0 to pass through the WP; if > 0 radius in meters to pass by WP. Positive value for clockwise orbit; negative value for counter-clockwise orbit. Allows trajectory control.| Desired yaw angle at MISSION (rotary wing)| Latitude| Longitude| Altitude|
FAILURE_TYPE_WRONG,uint8 = 4
param1,float32 # Parameter 1; as defined by MAVLink uint16 VEHICLE_CMD enum.
VEHICLE_CMD_NAV_TAKEOFF,uint16 = 22 # Takeoff from ground / hand |Minimum pitch (if airspeed sensor present); desired pitch without sensor| Empty| Empty| Yaw angle (if magnetometer present); ignored without magnetometer| Latitude| Longitude| Altitude|
VEHICLE_CMD_SET_GPS_GLOBAL_ORIGIN,uint32 = 100000 # Sets the GPS coordinates of the vehicle local origin (0;0;0) position. |Empty|Empty|Empty|Empty|Latitude|Longitude|Altitude|
param3,float32 # Parameter 3; as defined by MAVLink uint16 VEHICLE_CMD enum.
FAILURE_UNIT_SYSTEM_MOTOR,uint8 = 101
VEHICLE_CMD_DO_GO_AROUND,uint16 = 191 # Mission command to safely abort an autonomous landing. |Altitude (meters)| Empty| Empty| Empty| Empty| Empty| Empty|
VEHICLE_CMD_DO_GUIDED_LIMITS=222,uint16 # set limits for external control |timeout - maximum time (in seconds) that external controller will be allowed to control vehicle. 0 means no timeout| absolute altitude min (in meters; AMSL) - if vehicle moves below this alt; the command will be aborted and the mission will continue. 0 means no lower altitude limit| absolute altitude max (in meters)- if vehicle moves above this alt; the command will be aborted and the mission will continue. 0 means no upper altitude limit| horizontal move limit (in meters; AMSL) - if vehicle moves more than this distance from it's location at the moment the command was executed; the command will be aborted and the mission will continue. 0 means no horizontal altitude limit| Empty| Empty| Empty|
VEHICLE_CMD_NAV_PATHPLANNING,uint16 = 81 # Control autonomous path planning on the MAV. |0: Disable local obstacle avoidance / local path planning (without resetting map); 1: Enable local path planning; 2: Enable and reset local path planning| 0: Disable full path planning (without resetting map); 1: Enable; 2: Enable and reset map/occupancy grid; 3: Enable and reset planned route; but not occupancy grid| Empty| Yaw angle at goal; in compass degrees; [0..360]| Latitude/X of goal| Longitude/Y of goal| Altitude/Z of goal|
VEHICLE_CMD_NAV_LOITER_UNLIM,uint16 = 17 # Loiter around this MISSION an unlimited amount of time |Empty| Empty| Radius around MISSION; in meters. If positive loiter clockwise; else counter-clockwise| Desired yaw angle.| Latitude| Longitude| Altitude|
FAILURE_UNIT_SYSTEM_MAVLINK_SIGNAL,uint8 = 105
VEHICLE_CMD_DO_CONTROL_VIDEO,uint16 = 200 # Control onboard camera system. |Camera ID (-1 for all)| Transmission: 0: disabled; 1: enabled compressed; 2: enabled raw| Transmission mode: 0: video stream; >0: single images every n seconds (decimal)| Recording: 0: disabled; 1: enabled compressed; 2: enabled raw| Empty| Empty| Empty|
VEHICLE_CMD_NAV_LAND,uint16 = 21 # Land at location |Empty| Empty| Empty| Desired yaw angle.| Latitude| Longitude| Altitude|
